from_url,to_path,locale,status_code,legacy_wp_id,priority_score
https://travel2egypt.org/fi/egyptin-hieroglyfien-ymmartaminen/,/,en,301,,317.90
https://travel2egypt.org/es/vacaciones-en-un-crucero-por-el-nilo/,/es/nile-cruises/vacaciones-en-un-crucero-por-el-nilo,es,301,144397,135.90
https://travel2egypt.org/ja/%e3%83%8a%e3%82%a4%e3%83%ab%e3%82%af%e3%83%ab%e3%83%bc%e3%82%ba%e3%81%ae%e4%bc%91%e6%97%a5/,/ja/nile-cruises/ナイルクルーズの休日,ja,301,161850,135.90
https://travel2egypt.org/fi/boutique-niilin-risteilyt/,/,en,301,,133.50
https://travel2egypt.org/fi/kuinka-valita-sim-kortti-egyptin-matkalle/,/,en,301,,106.10
/a-western-desert-expedition,/multiday-adventure-and-safari-tours,en,301,,90.00
/es/desert-trails-una-expedicion-por-el-desierto-occidental,/es/multiday-adventure-and-safari-tours,es,301,,90.00
/ja/sabaku-no-michi-seibu-sabaku-ekusupedishon,/ja/multiday-adventure-and-safari-tours,ja,301,,90.00
/guide/cairo/nmec-royal-mummies-old-cairo,/nmec-royal-mummies-old-cairo,en,301,239598,90.00
/es/guide/cairo/momias-reales-nmec-el-cairo-antiguo,/es/dia-patrimonial-en-el-cairo-nmec-momias-reales-y-cairo-antiguo,es,301,,90.00
/ja/guide/cairo/kodai-kairo-no-oshitsu-no-miira,/ja/kairo-isan-no-ichi-nichi-oke-no-miira-orudo-kairo-han-hariri,ja,301,,90.00
/guide/cairo/saladin-citadel-khan-el-khalili-bazaar-cairo,/islamic-cairo-day-tour,en,301,87759,90.00
/saladin-citadel-khan-el-khalili-bazaar-cairo,/islamic-cairo-day-tour,en,301,,90.00
/es/guide/cairo/ciudadela-de-saladino-y-bazar-de-khan-el-khalili-el-cairo,/es/tour-privado-por-el-cairo-islamico-ciudadela-mezquitas-y-jan-el-jalili,es,301,,90.00
/ja/guide/cairo/saradin-josai-kan-eru-kariri-bazaru-kairo,/ja/isuramu-chiku-kairodeitsua-josai-mosuku-han-hariri,ja,301,,90.00
/guide/cairo/cairo-weekend-city-break-2-nights-3-days,/cairo-weekend-city-break-2-nights-3-days,en,301,,90.00
/es/guide/cairo/escapada-de-fin-de-semana-en-el-cairo-2-noches-3-dias,/es/escapada-de-fin-de-semana-a-el-cairo-3-dias-en-la-capital,es,301,,90.00
/ja/guide/cairo/kairowikuendoshitibureiku-2-haku-3-nichi,/ja/kairo-shumatsu-shitibureiku-ejiputo-no-shuto-de-sugosu-3,ja,301,,90.00
/guide/cairo/cairo-alexandria-city-break-5-days,/cairo-alexandria-city-break-5-days,en,301,,90.00
/es/guide/cairo/5-dias-a-el-cairo-y-alejandria,/es/el-cairo-y-alejandria-en-5-dias-dos-ciudades-dos-costas,es,301,,90.00
/ja/guide/cairo/kairo-arekusandoria-shitibureiku-5-nichikan,/ja/kairo-arekusandoria-5-nichikan-futatsu-no-to-futatsu-no,ja,301,,90.00
/guide/al-gouna/dendera-and-abydos-temples-from-al-gouna,/dendera-and-abydos-temples-from-al-gouna,en,301,,90.00
/es/guide/al-gouna/dendera-y-abydos-desde-al-gouna,/es/templos-de-dendera-y-abidos-tour-privado-de-dia-completo-desde-el-gouna,es,301,,90.00
/ja/guide/al-gouna/eru-gu-na-hatsu-dendera-to-abidosu-shinden-tsua,/ja/dendera-to-abidosu-no-shinden-aru-guna-hatsu-furudeitsua,ja,301,,90.00
/guide/sharm-el-sheikh/dolphin-show-sharm-el-sheikh,/dolphin-show-sharm-el-sheikh,en,301,,90.00
/es/guide/sharm-el-sheikh/acrobacias-acuaticas-espectaculo-de-delfines-en-sharm-el-sheikh,/es/espectaculo-de-delfines-en-sharm-el-sheij-que-esperar,es,301,,90.00
/ja/guide/sharm-el-sheikh/akuatikkuakurobatikusu-sharumuerusheiku-no-dorufin-sho,/ja/sharumuerusheiku-no-iruka-sho-kitai-dekiru-koto,ja,301,,90.00
/guide/cairo/islamic-cairo-day-tour,/islamic-cairo-day-tour,en,301,,90.00
/es/guide/cairo/el-corazon-espiritual-de-el-cairo-excursion-islamica-de-un-dia-por-el-cairo,/es/tour-privado-por-el-cairo-islamico-ciudadela-mezquitas-y-jan-el-jalili,es,301,,90.00
/ja/guide/cairo/kairo-no-seishin-teki-na-kokoro-isuramu-kairo-higaeri-tsua,/ja/isuramu-chiku-kairodeitsua-josai-mosuku-han-hariri,ja,301,,90.00
/guide/cairo/cairo-dinner-cruise-with-belly-dancing-show,/cairo-dinner-cruise-with-belly-dancing-show,en,301,,90.00
/es/guide/cairo/ritmos-del-nilo-el-cairo-cena-crucero-con-danza-del-vientre,/es/cena-crucero-por-el-nilo-en-el-cairo-con-danza-oriental,es,301,,90.00
/ja/guide/cairo/nairu-no-rizumu-kairo-dina-kuruzu-beri-dansu-sho,/ja/kairo-dina-kuruzu-nairu-beri-dansu-nama-enso,ja,301,,90.00
/guide/luxor/sound-light-show-at-karnak-temple-in-luxor,/sound-light-show-at-karnak-temple-in-luxor,en,301,,90.00
/es/guide/luxor/templo-de-karnak-de-luxor,/es/luz-y-sonido-en-karnak,es,301,,90.00
/ja/guide/luxor/rukusorukarunakku-shinden-no-saundo-raito-sho,/ja/yoru-no-karunakku-rukusoru-no-hikari-to-oto-no-sho,ja,301,,90.00
/guide/hurghada/hurghada-dolphin-show,/hurghada-dolphin-show-tickets-and-transfer-from-hurghada,en,301,,90.00
/es/guide/hurghada/espectaculo-marino-exhibicion-de-delfines-en-hurghada,/es/espectaculo-de-delfines-en-hurgada-entrada-y-traslado-al-hotel,es,301,,90.00
/ja/guide/hurghada/umi-no-supekutakuru-furugadairukasho,/ja/furugada-no-iruka-sho-chiketto-to-hoteru-sogei,ja,301,,90.00
/hurghada-dolphin-show,/hurghada-dolphin-show-tickets-and-transfer-from-hurghada,en,301,,90.00
/guide/hurghada/royal-seascope-submarine-hurghada,/royal-sea-scope,en,301,,90.00
/es/guide/hurghada/submarino-hurghada-royal-seascope,/es/royal-sea-scope-tour-en-semisubmarino-por-el-mar-rojo-desde-sharm-el-sheij,es,301,,90.00
/ja/guide/hurghada/furugada-roiyarushisukopu-sensui-kan,/ja/roiyaru-shisu-kopu-sharumuerusheiku-hatsu-kokai-no-han,ja,301,,90.00
/royal-seascope-submarine-hurghada,/royal-sea-scope,en,301,,90.00
/guide/al-fayoum/4-days-white-desert-wadi-al-hittan-exploration,/4-days-white-desert-wadi-al-hittan-exploration,en,301,,90.00
/es/guide/al-fayoum/el-desierto-blanco-y-wadi-al-hittan,/es/desierto-blanco-y-wadi-al-hitan-en-cuatro-dias-del-fayum-a-bahariya,es,301,,90.00
/ja/guide/al-fayoum/howaito-dezato-to-wadiaruhittan,/ja/kaseki-to-suna-faiyumu-kara-shirasuna-baku-e-no-4-nichikan,ja,301,,90.00
/guide/hurghada/the-pearl-of-red-sea-hurghada,/the-pearl-of-red-sea-hurghada,en,301,,90.00
/es/guide/hurghada/joya-del-mar-rojo-excursion-de-7-dias-a-la-perla-del-mar-rojo-en-hurghada,/es/hurghada-y-el-mar-rojo-en-8-dias,es,301,,90.00
/ja/guide/hurghada/kokai-no-hoseki-8-nichikan-no-harugadatsua,/ja/8-nichikan-kokai-harugada-kokai-no-shinju,ja,301,,90.00
/guide/hurghada/giftun-islands,/giftun-island-shared-snorkeling-day-from-hurghada,en,301,,90.00
/es/guide/hurghada/las-islas-giftun,/es/islas-giftun-desde-hurghada-dia-de-snorquel-compartido-en-yate,es,301,,90.00
/ja/guide/hurghada/gifuton-shoto,/ja/gifutun-shoto-no-ichi-nichi-kokai-o-soshoku-nashi-de-ajiwau,ja,301,,90.00
/giftun-islands,/giftun-island-shared-snorkeling-day-from-hurghada,en,301,,90.00
/guide/giza/the-giza-sound-and-light-show,/the-giza-sound-and-light-show-experience,en,301,,90.00
/es/guide/giza/el-espectaculo-de-sonido-y-luz-de-guiza,/es/el-espectaculo-de-luz-y-sonido-de-guiza-una-velada-en-las-piramides,es,301,,90.00
/ja/guide/giza/giza-no-oto-to-hikari-no-sho,/ja/giza-no-hikari-to-oto-no-sho-piramiddo-de-sugosu-ichiya,ja,301,,90.00
/the-giza-sound-and-light-show,/the-giza-sound-and-light-show-experience,en,301,,90.00
/guide/sharm-el-sheikh/sharm-el-sheikh-to-mount-sinai,/mount-sinai-and-st-catherine-full-day-tour-from-sharm,en,301,,90.00
/es/guide/sharm-el-sheikh/excursion-de-un-dia-completo-de-sharm-el-sheikh-al-monte-sinai-y-san-catalina,/es/de-sharm-el-sheij-al-monte-sinai-y-santa-catalina-dia-completo,es,301,,90.00
/ja/guide/sharm-el-sheikh/sharumuerusheiku-kara-shinai-san-to-sei-katarina-shudoin,/ja/shinai-no-yoru-to-asa-chojo-no-hinode-to-sono-shita-de-1-500,ja,301,,90.00
/sharm-el-sheikh-to-mount-sinai,/mount-sinai-and-st-catherine-full-day-tour-from-sharm,en,301,,90.00
/guide/sharm-el-sheikh/dolphins-in-sharm-el-sheikh,/swimming-with-dolphins,en,301,,90.00
/es/guide/sharm-el-sheikh/excursion-nadando-con-delfines,/es/nadar-con-delfines-en-sharm-el-sheij,es,301,,90.00
/ja/guide/sharm-el-sheikh/dorufinsuimutsua,/ja/sharumuerusheiku-de-iruka-to-oyogu-taiken,ja,301,,90.00
/dolphins-in-sharm-el-sheikh,/swimming-with-dolphins,en,301,,90.00
/ja/private-day-tours,/ja/puraibeeto-deitsuaa,ja,301,,80.00
/ja/group-day-tours,/ja/shoninzu-guruupu-deitsuaa,ja,301,,80.00
/ja/egypt-travel-packages,/ja/ejiputo-ryoko-pakkeeji,ja,301,,80.00
/ja/puraibeeto-pakkeeji,/ja/ejiputo-ryoko-pakkeeji,ja,301,,80.00
/ja/small-group-travel-packages,/ja/shoninzu-guruupu-pakkeeji,ja,301,,80.00
/es/egypt-travel-packages,/es/paquetes-de-viaje-a-egipto,es,301,,80.00
/es/small-group-travel-packages,/es/paquetes-en-grupo-reducido,es,301,,80.00
/es/private-day-tours,/es/excursiones-privadas-de-un-dia,es,301,,80.00
/es/group-day-tours,/es/excursiones-en-grupo-de-un-dia,es,301,,80.00
/ja/pakkeeji,/ja/packages,ja,301,,80.00
/ja/dei-tsuaa,/ja/tours,ja,301,,80.00
/ja/nairu-gawa-kuruuzu,/ja/nile-cruises,ja,301,,80.00
/ja/hoteru,/ja/hotels,ja,301,,80.00
/ja/ryokou-gaido,/ja/guide,ja,301,,80.00
/ja/jaanaru,/ja/blog,ja,301,,80.00
/ja/tabi-no-hinto,/ja/travel-tips,ja,301,,80.00
