from_url,to_url,locale,note
/blog/egypt-luxury-travel,https://sillage-egypte.com/journal/is-luxury-egypt-worth-it,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/egypt-luxury-travel,https://sillage-egypte.com/journal/is-luxury-egypt-worth-it,en,legacy WP root slug (today 308s to /blog/egypt-luxury-travel via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/the-luxurious-egyptian-vacation,https://sillage-egypte.com/journal/is-luxury-egypt-worth-it,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/the-luxurious-egyptian-vacation,https://sillage-egypte.com/journal/is-luxury-egypt-worth-it,en,legacy WP root slug (today 308s to /blog/the-luxurious-egyptian-vacation via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/luxury-resorts-in-egypt,https://sillage-egypte.com/journal/best-luxury-resorts-red-sea,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/luxury-resorts-in-egypt,https://sillage-egypte.com/journal/best-luxury-resorts-red-sea,en,legacy WP root slug (today 308s to /blog/luxury-resorts-in-egypt via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/egypt-luxury-beach-resorts,https://sillage-egypte.com/journal/best-luxury-resorts-red-sea,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/egypt-luxury-beach-resorts,https://sillage-egypte.com/journal/best-luxury-resorts-red-sea,en,legacy WP root slug (today 308s to /blog/egypt-luxury-beach-resorts via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/luxury-nile-cruise,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/luxury-nile-cruise,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,legacy WP root slug (today 308s to /blog/luxury-nile-cruise via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/boutique-nile-cruises-in-egypt,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/boutique-nile-cruises-in-egypt,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,legacy WP root slug (today 308s to /blog/boutique-nile-cruises-in-egypt via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/experiencing-egypt-aboard-the-oberoi-zahra,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/experiencing-egypt-aboard-the-oberoi-zahra,https://sillage-egypte.com/journal/best-luxury-nile-cruises,en,legacy WP root slug (today 308s to /blog/experiencing-egypt-aboard-the-oberoi-zahra via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/historical-hotels-in-egypt,https://sillage-egypte.com/journal/historic-hotels-of-egypt,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/historical-hotels-in-egypt,https://sillage-egypte.com/journal/historic-hotels-of-egypt,en,legacy WP root slug (today 308s to /blog/historical-hotels-in-egypt via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/boutique-hotels-in-egypt,https://sillage-egypte.com/journal/luxury-villas-egypt,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/boutique-hotels-in-egypt,https://sillage-egypte.com/journal/luxury-villas-egypt,en,legacy WP root slug (today 308s to /blog/boutique-hotels-in-egypt via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/how-to-choose-the-right-egyptian-airport-for-your-private-flight,https://sillage-egypte.com/journal/private-jet-and-helicopter-egypt,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/how-to-choose-the-right-egyptian-airport-for-your-private-flight,https://sillage-egypte.com/journal/private-jet-and-helicopter-egypt,en,legacy WP root slug (today 308s to /blog/how-to-choose-the-right-egyptian-airport-for-your-private-flight via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
https://travel2egypt.org/how-to-choose-the-right-egyptian-airport-for-your-private-flight/,https://sillage-egypte.com/journal/private-jet-and-helicopter-egypt,en,REPOINT existing redirect-map row (was -> /blog/how-to-choose-the-right-egyptian-airport-for-your-private-flight) to avoid a chain
/blog/a-helicopter-adventure-over-the-pyramids-and-nile,https://sillage-egypte.com/journal/private-jet-and-helicopter-egypt,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/a-helicopter-adventure-over-the-pyramids-and-nile,https://sillage-egypte.com/journal/private-jet-and-helicopter-egypt,en,legacy WP root slug (today 308s to /blog/a-helicopter-adventure-over-the-pyramids-and-nile via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/blog/exclusive-access-to-the-giza-pyramid,https://sillage-egypte.com/journal/pyramids-without-crowds,en,ship only when the Sillage URL returns 200; needs Sillage URL live
/exclusive-access-to-the-giza-pyramid,https://sillage-egypte.com/journal/pyramids-without-crowds,en,legacy WP root slug (today 308s to /blog/exclusive-access-to-the-giza-pyramid via the [...rest] catch-all; after unpublish it would 404). Add only if not already covered
/es/blog/viajes-de-lujo-a-egipto,,es,DECISION: Sillage ES URL for https://sillage-egypte.com/journal/is-luxury-egypt-worth-it not known; do not send ES to the EN Sillage page
